Instrument,Question Label,Question Description,Question ID,Response Label,Response Value,Response Description,,
ACDS,CARELESS/SLOPPY,,ACDS_01,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY SUSTAINING ATTENTION,,ACDS_02,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DOESN'T LISTEN,,ACDS_03,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY FOLLOWING INSTRUCTIONS (FINISHING),,ACDS_04,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY ORGANIZING TASKS/ACTIVITIES,,ACDS_05,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,AVOIDANCE OF TASKS WITH SUSTAINED MENTAL EFFORT,,ACDS_06,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,LOSES THINGS,,ACDS_07,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,EASILY DISTRACTED,,ACDS_08,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,FORGETFUL IN DAILY ACTIVITES,,ACDS_09,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,FIDGETS/SQUIRMS,,ACDS_10,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY REMAINING SEATED,,ACDS_11,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,RUNS/CLIMBS EXCESSIVELY/INAPPROPRIATELY,,ACDS_12,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY PLAYING QUIETLY,,ACDS_13,NO,0,,,
,,,,YES,1,,,
